N,anchor,hub_edges,hub_cost,weighting,metric,rank,node,is_prime,observed,null_mean,null_sd,null_min,null_max,z,p_empirical,null_degenerate,n_null_samples,pivots
1000,2,False,0.1,padic,degree,4,7,True,141.0,141.0,0.0,141.0,141.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,5,11,True,89.0,89.0,0.0,89.0,89.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,6,13,True,75.0,75.0,0.0,75.0,75.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,7,17,True,57.0,57.0,0.0,57.0,57.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,8,19,True,51.0,51.0,0.0,51.0,51.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,9,23,True,42.0,42.0,0.0,42.0,42.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,10,29,True,33.0,33.0,0.0,33.0,33.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,11,31,True,31.0,31.0,0.0,31.0,31.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,12,37,True,26.0,26.0,0.0,26.0,26.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,13,41,True,23.0,23.0,0.0,23.0,23.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,14,43,True,22.0,22.0,0.0,22.0,22.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,15,47,True,20.0,20.0,0.0,20.0,20.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,16,53,True,17.0,17.0,0.0,17.0,17.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,17,59,True,15.0,15.0,0.0,15.0,15.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,18,61,True,15.0,15.0,0.0,15.0,15.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,19,71,True,13.0,13.0,0.0,13.0,13.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree,20,67,True,13.0,13.0,0.0,13.0,13.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,1,2,True,1492.0,1492.0,0.0,1492.0,1492.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,2,3,True,829.0,829.0,0.0,829.0,829.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,3,5,True,447.0,447.0,0.0,447.0,447.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,4,7,True,304.0,304.0,0.0,304.0,304.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,5,11,True,186.0,186.0,0.0,186.0,186.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,6,13,True,155.0,155.0,0.0,155.0,155.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,7,17,True,117.0,117.0,0.0,117.0,117.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,8,19,True,104.0,104.0,0.0,104.0,104.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,9,23,True,85.0,85.0,0.0,85.0,85.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,10,29,True,67.0,67.0,0.0,67.0,67.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,11,31,True,63.0,63.0,0.0,63.0,63.0,0.0,1.0,True,100,200
1000,2,False,0.1,padic,degree_weighted,12,37,True,52.0,52.0,0.0,52.0,52.0,0.0,1.0,True,100,200
