node,is_prime,degree,degree_weighted,eigenvector,eigenvector_costweight,pagerank,betweenness,p_index,N,anchor,hub_edges,hub_cost,weighting
37,True,27.0,103.88386572874985,0.056340976760462486,0.00564628115893609,0.008535372691711897,0.050573619711896264,0.02702702702702703,1000,2,True,0.1,log
41,True,24.0,95.41215753419905,0.05614528537002669,0.005256242003616113,0.007745917754200243,0.04484043161397871,0.024390243902439025,1000,2,True,0.1,log
43,True,23.0,92.7464025452584,0.05602502627580862,0.004941679078912759,0.007497164314847685,0.04288456793466813,0.023255813953488372,1000,2,True,0.1,log
47,True,21.0,87.00295203420116,0.055832405707467656,0.0046429159539429065,0.007025229778795441,0.03917143596502314,0.02127659574468085,1000,2,True,0.1,log
53,True,18.0,77.49496253038608,0.055565239906642146,0.0042891190319152206,0.006231212797130778,0.033382079474263845,0.018867924528301886,1000,2,True,0.1,log
59,True,16.0,71.16306165858579,0.05536839354111599,0.003976245671674976,0.0056888333472121305,0.02955861673296543,0.01694915254237288,1000,2,True,0.1,log
61,True,16.0,71.6631079625997,0.05539164246333396,0.003960421251623942,0.005714258700188772,0.029570652817145802,0.01639344262295082,1000,2,True,0.1,log
67,True,14.0,64.66100405208257,0.05518059875091526,0.0036636279411450165,0.005101159298849041,0.02563284727613385,0.014925373134328358,1000,2,True,0.1,log
71,True,14.0,65.4148384015371,0.05521629050100692,0.0036413528289893876,0.005138926698706637,0.02563284727613385,0.014084507042253521,1000,2,True,0.1,log
73,True,13.0,61.485513293780706,0.055021523854360745,0.0034220294058942514,0.004836668452877416,0.023656923456522656,0.0136986301369863,1000,2,True,0.1,log
79,True,12.0,58.06392637713723,0.054965207191181385,0.0033952900755388963,0.004550226870874664,0.021787318380504753,0.012658227848101266,1000,2,True,0.1,log
83,True,12.0,58.60724668576257,0.05499117740466848,0.0033799976371358393,0.004576531602826382,0.021787318380504753,0.012048192771084338,1000,2,True,0.1,log
89,True,11.0,54.88636369732141,0.054817082779956464,0.0031300937774885944,0.004268381938145294,0.019807382532833435,0.011235955056179775,1000,2,True,0.1,log
97,True,10.0,51.172398806530445,0.0547522254450287,0.003107498494514461,0.003961566012208849,0.01792774738666522,0.010309278350515464,1000,2,True,0.1,log
101,True,9.0,46.92096413473008,0.05454337917937094,0.002899720394169374,0.0036359137863573427,0.01594379951093378,0.009900990099009901,1000,2,True,0.1,log
103,True,9.0,47.07783190583709,0.05455072491067973,0.0028960337804948303,0.0036431893057985486,0.01594379951093378,0.009708737864077669,1000,2,True,0.1,log
107,True,9.0,47.382630675695246,0.05456505750037034,0.002888959199964029,0.0036572611985587616,0.01594379951093378,0.009345794392523364,1000,2,True,0.1,log
109,True,9.0,47.530783057833155,0.05457205254074335,0.0028855620593550833,0.0036640704277335866,0.01594379951093378,0.009174311926605505,1000,2,True,0.1,log
113,True,8.0,43.09171473098638,0.054495104491868174,0.00284726000819239,0.003293509485956697,0.013957845621172275,0.008849557522123894,1000,2,True,0.1,log
2,True,499.0,345.88044309941347,0.22916623383472162,0.678459763141833,0.03925629446105357,0.12041500418253928,0.5,1000,2,False,0.1,log
